size,bytes,usage,minrelaytxfee
4793,1080417,5530688,0.000010000
4841,1091246,5580608,0.000010000
4886,1101391,5631504,0.000010000
4931,1111535,5684064,0.000010000
4977,1121904,5737792,0.000010000
5024,1132503,5792688,0.000010000
5070,1142877,5846416,0.000010000
5116,1153256,5900144,0.000010000
4669,1052457,5422336,0.000010000
4716,1063053,5471216,0.000010000
4764,1073886,5521136,0.000010000
4812,1084707,5571056,0.000010000
4859,1095304,5619936,0.000010000
4906,1105903,5668816,0.000010000
4954,1116725,5718736,0.000010000
5003,1127774,5769696,0.000010000
5051,1138593,5824096,0.000010000
5097,1148973,5877824,0.000010000
5144,1159570,5932720,0.000010000
